account_id,frst_name,last_name,password,balance_checking,balance_savings,account_status,count_overdraft
1,suresh,sigera,1,4580.0,2580.0,active,0
10002,james,taylor,idh36%@#FGd,23100.0,1680.0,active,0
10003,melvin,gordon,uYWE732g4ga1,4420.0,1660.0,active,0
10004,stacey,abrams,DEU8_qw3y72$,2020.0,20000,active,0
10005,jake,paul,d^dg23g)@,99880.0,99280.0,active,0
10006,fatemah,mohammed,vhdjksb7,45.0,None,active,1
10007,sameer,salman,dnjweh8,1000.0,,active,0
10008,yara,aziz,hbwej7,1000.0,20000.0,active,0
10009,hassan,saleh,jnwrl9,,6000.0,active,0
10010,faisal,khaled,njre7,200.0,,active,0
10011,jana,kasan,njew,200.0,,active,0
10012,hasan,sameer,bhwedf8,None,865.0,active,3
10013,ghadah,jamel,bhnwkle,1000.0,8000.0,active,0
10014,yara,ahmed,nejkwl2,80.0,865.0,active,3
